,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
0,1,PAYMENT,4059.25,C200404000,4186.0,126.75,M1894758168,0.0,0.0,0,0
1,1,TRANSFER,483544.3,C593447952,0.0,0.0,C1286084959,876379.19,2107778.11,0,0
2,1,PAYMENT,3825.39,C1502668485,4094.0,268.61,M1457551880,0.0,0.0,0,0
3,1,DEBIT,3269.72,C1746257394,22906.25,19636.54,C793315160,25808.5,139915.18,0,0
4,1,TRANSFER,59531.87,C1886567481,0.0,0.0,C998351292,1968218.89,1015132.48,0,0
5,1,PAYMENT,1056.64,C438123546,5578.0,4521.36,M29774113,0.0,0.0,0,0
6,1,PAYMENT,21902.51,C1329897103,0.0,0.0,M1091736037,0.0,0.0,0,0
7,3,PAYMENT,36228.33,C729005419,1409.0,0.0,M360528453,0.0,0.0,0,0
8,6,PAYMENT,12798.82,C1160845977,0.0,0.0,M1882695296,0.0,0.0,0,0
9,6,PAYMENT,1695.69,C244922133,0.0,0.0,M1752069395,0.0,0.0,0,0
10,7,CASH_IN,31159.89,C407404434,717916.5,749076.39,C1233454027,31863.0,889115.75,0,0
11,7,PAYMENT,4514.37,C1920021004,10354.0,5839.63,M19719769,0.0,0.0,0,0
12,7,CASH_OUT,53459.12,C928286087,0.0,0.0,C1850803964,70971.0,0.0,0,0
13,7,CASH_OUT,244191.05,C971141478,0.0,0.0,C2103065350,407060.0,1135043.98,0,0
14,7,PAYMENT,2526.9,C70297416,16621.91,14095.02,M1464407166,0.0,0.0,0,0
15,7,PAYMENT,7179.91,C1376035460,792.0,0.0,M1204653436,0.0,0.0,0,0
16,7,CASH_OUT,133210.0,C1619007919,0.0,0.0,C599726537,143040.45,528200.34,0,0
17,8,CASH_OUT,144231.68,C1347503688,18743.0,0.0,C320106510,37211.0,0.0,0,0
18,8,PAYMENT,12473.32,C225737134,9026.54,0.0,M1922841304,0.0,0.0,0,0
19,8,PAYMENT,3677.93,C584102608,26869.0,23191.07,M4024703,0.0,0.0,0,0
20,8,CASH_IN,312173.47,C1117948366,7337108.26,7649281.73,C1266035080,3779861.72,3232606.04,0,0
21,8,CASH_OUT,126070.05,C1677738650,8805.97,0.0,C1302931951,882136.76,1740418.55,0,0
22,8,TRANSFER,997157.8,C1582409532,0.0,0.0,C188246551,2093026.08,3439878.27,0,0
23,8,PAYMENT,16405.89,C138685275,15365.0,0.0,M107975043,0.0,0.0,0,0
24,8,PAYMENT,9781.16,C716711616,17046.0,7264.84,M2097661859,0.0,0.0,0,0
25,8,PAYMENT,10788.14,C603411930,0.0,0.0,M1933353960,0.0,0.0,0,0
26,8,PAYMENT,19942.18,C1046155833,0.0,0.0,M551841762,0.0,0.0,0,0
27,8,TRANSFER,1667482.25,C1002004721,0.0,0.0,C1013700132,2865753.44,4619940.36,0,0
28,8,CASH_OUT,192279.83,C3564974,0.0,0.0,C1937962514,609849.43,1581311.49,0,0
29,8,PAYMENT,15758.07,C1770349370,1050507.29,1034749.22,M6219287,0.0,0.0,0,0
30,8,PAYMENT,5869.75,C1325229556,62997.0,57127.25,M1189620244,0.0,0.0,0,0
31,8,CASH_OUT,316669.5,C1477861283,0.0,0.0,C2102549317,1115121.92,1512042.27,0,0
32,8,TRANSFER,1018838.03,C1315808102,0.0,0.0,C1245522769,1988011.66,3328958.11,0,0
33,8,CASH_OUT,195191.79,C742447299,101631.0,0.0,C971357464,283.0,0.0,0,0
34,8,CASH_OUT,143123.48,C1827052514,488.0,0.0,C1330400026,38365.3,181488.78,0,0
35,8,CASH_OUT,35273.75,C69860142,0.0,0.0,C819041667,41355.0,152147.98,0,0
36,8,PAYMENT,10150.57,C2071718170,3254218.07,3244067.5,M1786784181,0.0,0.0,0,0
37,9,PAYMENT,2391.4,C1352515946,39771.16,37379.75,M879102087,0.0,0.0,0,0
38,9,CASH_OUT,564428.26,C2028840824,0.0,0.0,C302870502,2134427.17,3116947.09,0,0
39,9,CASH_OUT,191699.42,C648869610,589.0,0.0,C14576684,553365.93,919697.4,0,0
40,9,PAYMENT,30987.93,C2050129423,180914.06,149926.13,M1806215637,0.0,0.0,0,0
41,9,CASH_OUT,400026.83,C785522533,362.0,0.0,C1804424410,0.0,549413.67,0,0
42,9,PAYMENT,3544.5,C1771286954,52123.42,48578.92,M1994813219,0.0,0.0,0,0
43,9,CASH_OUT,323682.53,C1151374564,102183.0,0.0,C442364016,798906.11,1122588.64,0,0
44,9,CASH_OUT,257655.21,C985985852,23497.0,0.0,C135254299,334716.95,0.0,0,0
45,9,PAYMENT,116.77,C1531493423,64163.24,64046.47,M446800613,0.0,0.0,0,0
46,9,CASH_IN,69019.22,C1389187550,4946258.95,5015278.17,C1423769609,151334.08,0.0,0,0
47,9,TRANSFER,1798265.93,C2002885737,230117.25,0.0,C1204684191,4150426.39,6425937.58,0,0
48,9,CASH_OUT,151726.21,C460188405,51387.0,0.0,C1284307762,0.0,151726.21,0,0
49,9,PAYMENT,10974.28,C1838989712,40862.0,29887.72,M397225992,0.0,0.0,0,0
50,9,TRANSFER,501330.53,C1832101394,52524.0,0.0,C1223818487,20660.0,0.0,0,0
51,9,CASH_IN,203214.08,C750708306,40718.0,243932.08,C1450150251,66322.0,0.0,0,0
52,9,CASH_OUT,275442.41,C1819152178,0.0,0.0,C1915163610,1320690.2,4480612.61,0,0
53,9,PAYMENT,51503.93,C300953884,27055.84,0.0,M1263532798,0.0,0.0,0,0
54,9,CASH_OUT,184494.53,C1251325118,31691.0,0.0,C976756611,10426.0,0.0,0,0
55,9,CASH_OUT,200622.17,C681979102,0.0,0.0,C1179764076,412324.0,1089123.72,0,0
56,9,TRANSFER,1024589.15,C1201127709,0.0,0.0,C313124964,8030919.24,8938973.57,0,0
57,9,PAYMENT,5668.75,C1730558532,0.0,0.0,M1118788447,0.0,0.0,0,0
58,9,CASH_IN,209020.84,C1051437036,278317.48,487338.32,C55040366,354358.3,66519.53,0,0
59,9,CASH_IN,88876.13,C1467181942,8263016.15,8351892.28,C968014155,921141.1,270654.96,0,0
60,9,PAYMENT,11653.75,C154180266,5105.0,0.0,M1862473435,0.0,0.0,0,0
61,9,PAYMENT,3125.53,C751862894,215364.01,212238.48,M1627656722,0.0,0.0,0,0
62,9,CASH_IN,359143.98,C643951358,11178586.12,11537730.09,C1060951315,500720.15,376927.27,0,0
63,9,CASH_OUT,174760.46,C1196801583,0.0,0.0,C187569650,385233.47,983297.77,0,0
64,9,PAYMENT,20954.14,C492951880,1305160.49,1284206.35,M148674437,0.0,0.0,0,0
65,9,CASH_OUT,29088.65,C1367012746,21220.08,0.0,C16685882,2350184.98,4193397.68,0,0
66,9,CASH_OUT,166855.28,C1734629372,20058.0,0.0,C906530326,1073805.78,899860.93,0,0
67,9,TRANSFER,674269.55,C266766723,0.0,0.0,C421639228,3907644.77,5563438.54,0,0
68,9,CASH_OUT,58958.76,C239625170,779225.76,720266.99,C1778801068,13365421.77,13214550.33,0,0
69,9,PAYMENT,16722.52,C1528140606,29548.7,12826.18,M856943987,0.0,0.0,0,0
70,9,CASH_IN,419762.41,C265883719,7548019.55,7967781.96,C562004858,3557082.91,3030292.46,0,0
71,9,CASH_IN,274794.95,C421412634,4214146.81,4488941.76,C634440506,1987670.38,2882613.02,0,0
72,9,CASH_IN,111983.56,C1696600009,24189331.68,24301315.24,C1906029492,629934.17,2188356.88,0,0
73,9,PAYMENT,13215.11,C2125098540,49381.0,36165.89,M1778586038,0.0,0.0,0,0
74,9,CASH_OUT,322814.66,C1023115548,3566.0,0.0,C510956085,41099.27,721258.74,0,0
75,9,PAYMENT,1063.95,C545245281,391.0,0.0,M733098688,0.0,0.0,0,0
76,9,CASH_OUT,19076.69,C1246879675,0.0,0.0,C716156478,180684.76,290758.31,0,0
77,9,CASH_OUT,366149.87,C1685947420,0.0,0.0,C1780797498,435028.56,1195458.06,0,0
78,10,PAYMENT,1214.87,C1819638013,380415.54,379200.67,M1369113360,0.0,0.0,0,0
79,10,CASH_OUT,235036.28,C444946126,416713.94,181677.66,C952610115,387005.32,266887.62,0,0
80,10,CASH_OUT,203314.14,C1011702989,1039.0,0.0,C2115119751,0.0,203314.14,0,0
81,10,PAYMENT,21236.13,C201621701,0.0,0.0,M1082244645,0.0,0.0,0,0
82,10,PAYMENT,7634.87,C300328551,0.0,0.0,M1406437004,0.0,0.0,0,0
83,10,CASH_OUT,316188.76,C1132218614,0.0,0.0,C1881151365,908655.43,1448657.31,0,0
84,10,PAYMENT,33902.6,C188896292,59977.0,26074.4,M1201329787,0.0,0.0,0,0
85,10,PAYMENT,4237.35,C1877391452,19500.0,15262.65,M217214388,0.0,0.0,0,0
86,10,CASH_OUT,69906.12,C1249941733,0.0,0.0,C726834993,176036.0,196940.73,0,0
87,10,TRANSFER,1812018.63,C187943130,18458.0,0.0,C1736451288,254272.17,1989561.67,0,0
88,10,CASH_OUT,204922.38,C1293839950,0.0,0.0,C1902340975,929447.29,989414.02,0,0
89,10,PAYMENT,1553.3,C1684551222,43128.19,41574.89,M1957718702,0.0,0.0,0,0
90,10,CASH_OUT,61082.58,C1930848954,140.0,0.0,C1168422649,149020.35,507993.76,0,0
91,10,PAYMENT,733.7,C1648930656,69206.83,68473.13,M2053320611,0.0,0.0,0,0
92,10,CASH_OUT,2718.73,C753126677,610182.0,607463.27,C170275746,168279.14,170997.87,0,0
93,10,CASH_OUT,465776.14,C1543716811,2256.0,0.0,C1483220562,2128396.87,2594173.01,0,0
94,10,CASH_OUT,350043.09,C317902509,0.0,0.0,C1022269511,883685.25,5162119.97,0,0
95,10,CASH_IN,353413.07,C369575888,49571.0,402984.07,C1306319262,0.0,0.0,0,0
96,10,PAYMENT,32003.19,C942633240,0.0,0.0,M708477345,0.0,0.0,0,0
97,10,CASH_OUT,34889.3,C196787975,119655.0,84765.7,C1580090681,275986.78,474473.67,0,0
98,10,PAYMENT,17465.17,C1841033835,368428.0,350962.83,M558803100,0.0,0.0,0,0
99,10,PAYMENT,11189.04,C528350382,0.0,0.0,M1539184126,0.0,0.0,0,0
100,10,CASH_IN,216968.6,C1344483686,0.0,216968.6,C1652169847,224938.39,7969.79,0,0
101,10,PAYMENT,8813.71,C2085035412,800492.0,791678.29,M698470378,0.0,0.0,0,0
102,10,CASH_IN,125839.79,C1792097749,1518420.93,1644260.72,C1213780651,579553.11,640878.12,0,0
103,10,PAYMENT,10284.76,C973837442,29909.0,19624.24,M470259435,0.0,0.0,0,0
104,10,PAYMENT,11866.93,C400395025,1496383.53,1484516.59,M123354550,0.0,0.0,0,0
105,10,CASH_IN,357712.17,C715754806,2105.0,359817.17,C138905202,139817.39,0.0,0,0
106,10,PAYMENT,8944.91,C839328595,1156102.26,1147157.35,M341988393,0.0,0.0,0,0
107,10,CASH_OUT,604582.18,C1203059217,20891.0,0.0,C1729992140,6382.0,610964.18,0,0
108,10,PAYMENT,26865.07,C1238641146,825097.26,798232.19,M936099191,0.0,0.0,0,0
109,10,PAYMENT,2825.39,C1686283603,243318.0,240492.61,M276857955,0.0,0.0,0,0
110,10,CASH_OUT,106884.63,C975941435,122453.68,15569.04,C2097106754,1549007.08,1647731.53,0,0
111,10,CASH_IN,301749.2,C1462314552,49851.0,351600.2,C1127049440,4221914.3,4281087.49,0,0
112,10,PAYMENT,18689.38,C1639288795,194807.0,176117.62,M1571121222,0.0,0.0,0,0
113,10,PAYMENT,15216.95,C1620368761,0.0,0.0,M745993711,0.0,0.0,0,0
114,10,PAYMENT,8640.26,C1936064180,32197.15,23556.88,M1701951312,0.0,0.0,0,0
115,10,CASH_IN,269419.39,C1688555629,158060.56,427479.95,C1808343838,45340.73,0.0,0,0
116,10,CASH_OUT,67562.17,C1015999461,82923.0,15360.83,C1292827974,833273.04,1339897.87,0,0
117,10,CASH_OUT,205162.77,C1025304532,12013.0,0.0,C1993178637,0.0,205162.77,0,0
118,10,CASH_OUT,151973.23,C2112408921,0.0,0.0,C2081518912,311716.05,264272.91,0,0
119,10,PAYMENT,12413.21,C1253688641,0.0,0.0,M970585756,0.0,0.0,0,0
120,10,PAYMENT,29743.83,C2007267642,21824.55,0.0,M2108766276,0.0,0.0,0,0
121,10,TRANSFER,543643.56,C186011352,0.0,0.0,C747184469,17159273.9,17995720.35,0,0
122,10,TRANSFER,1776979.06,C2079071864,0.0,0.0,C981603653,4642348.05,6316641.62,0,0
123,10,CASH_OUT,424262.84,C1609154594,52589.0,0.0,C1113774159,1753579.03,2177841.87,0,0
124,11,TRANSFER,466278.89,C54706410,0.0,0.0,C1818219086,1780470.42,2966147.95,0,0
125,11,PAYMENT,5037.58,C1897155529,20000.0,14962.42,M1018794928,0.0,0.0,0,0
126,11,PAYMENT,17755.04,C66916518,0.0,0.0,M1670908537,0.0,0.0,0,0
127,11,CASH_OUT,127641.82,C33310586,0.0,0.0,C801777708,631149.36,650447.65,0,0
128,11,CASH_IN,168332.58,C704070602,20498.0,188830.58,C1643836634,0.0,0.0,0,0
129,11,CASH_IN,83563.19,C1410183404,7832811.17,7916374.36,C412509729,194153.16,110589.98,0,0
130,11,PAYMENT,13743.93,C1211281830,0.0,0.0,M1524970932,0.0,0.0,0,0
131,11,TRANSFER,224323.49,C677530024,0.0,0.0,C478124129,8360703.58,8674021.41,0,0
132,11,CASH_OUT,158497.87,C783623055,108749.51,0.0,C2127107706,4427397.05,4585894.92,0,0
133,11,CASH_IN,80125.58,C1542300917,2482213.1,2562338.68,C1145759614,281597.73,201472.15,0,0
134,11,PAYMENT,17565.68,C824098099,259894.18,242328.5,M830458562,0.0,0.0,0,0
135,11,CASH_OUT,107071.17,C2099786968,0.0,0.0,C562262220,835543.94,942615.11,0,0
136,11,CASH_OUT,114879.61,C663705587,0.0,0.0,C2095611317,2514486.57,2629366.18,0,0
137,11,CASH_OUT,137730.36,C18034169,383.0,0.0,C1417431427,2482902.78,2620633.14,0,0
138,11,CASH_IN,63277.33,C864519584,21773300.44,21836577.77,C1932661380,104360.0,41082.67,0,0
139,11,CASH_IN,314822.99,C1289594087,109512.37,424335.36,C2110250940,1018424.71,703601.72,0,0
140,11,PAYMENT,8268.23,C1220090703,256827.0,248558.77,M592608606,0.0,0.0,0,0
141,11,CASH_OUT,56134.51,C723215979,0.0,0.0,C1708183629,228572.63,433306.9,0,0
142,11,PAYMENT,15833.07,C30826426,616605.08,600772.01,M1131266511,0.0,0.0,0,0
143,11,CASH_OUT,108707.02,C2054743842,3196300.71,3087593.68,C1220695329,464518.36,573225.38,0,0
144,11,PAYMENT,33048.35,C1480473529,10669.0,0.0,M589715440,0.0,0.0,0,0
145,11,CASH_OUT,243187.78,C1807007869,0.0,0.0,C181168745,475153.76,455600.96,0,0
146,11,CASH_OUT,136220.52,C349036929,49145.0,0.0,C440225172,0.0,2497.99,0,0
147,11,PAYMENT,12397.85,C72536960,0.0,0.0,M162486246,0.0,0.0,0,0
148,11,PAYMENT,5491.84,C106203979,0.0,0.0,M2147069619,0.0,0.0,0,0
149,11,CASH_OUT,260995.83,C1836071384,0.0,0.0,C187190964,492103.39,387570.31,0,0
150,11,CASH_OUT,488058.57,C1856162906,181747.57,0.0,C995911260,610318.36,1598963.35,0,0
151,11,CASH_OUT,446160.28,C387076745,195.0,0.0,C1676444239,30982.0,522695.8,0,0
152,11,PAYMENT,28812.46,C161903604,12133.0,0.0,M1859950893,0.0,0.0,0,0
153,11,CASH_IN,135005.5,C639052616,5428031.86,5563037.35,C1639708058,1040817.36,2631687.71,0,0
154,11,PAYMENT,794.46,C924713347,25886.0,25091.54,M290039826,0.0,0.0,0,0
155,11,CASH_OUT,3628.27,C511735086,0.0,0.0,C1167432890,87744.49,164995.62,0,0
156,11,PAYMENT,1462.58,C180866942,4116.0,2653.42,M861998858,0.0,0.0,0,0
157,11,CASH_OUT,442499.69,C1994624802,1086221.43,643721.73,C893038039,5224197.93,7182235.03,0,0
158,11,CASH_IN,209206.51,C2089998887,41763.0,250969.51,C2142748198,233923.19,24716.68,0,0
159,11,CASH_OUT,151961.66,C1756633493,0.0,0.0,C422003522,4368190.09,3866959.66,0,0
160,11,CASH_IN,220253.54,C34606109,517380.0,737633.54,C242131142,0.0,0.0,0,0
161,11,PAYMENT,20929.46,C1892097973,0.0,0.0,M166757130,0.0,0.0,0,0
162,11,CASH_IN,312666.26,C228544484,41989.0,354655.26,C1688537809,28976.0,0.0,0,0
